date,Open,High,Low,Close,Volume,head_shoulder_pattern
2023/6/27,30267.99,30994.97,30226.17,30692.44,42699.64157,
2023/6/28,30692.44,30709.74,29858.8,30077.41,40463.51937,
2023/6/29,30077.4,30843.98,30049.98,30447.31,36330.62903,
2023/6/30,30447.31,31282,29500,30472,89419.07618,
2023/7/1,30471.99,30661.6,30320.57,30585.9,17501.75075,
2023/7/2,30585.9,30791,30155,30617.03,23286.41019,
2023/7/3,30617.02,31380,30570.27,31156.2,43761.64311,
2023/7/4,31156.2,31350.69,30620,30766.51,33206.11943,
2023/7/5,30766.52,30878.07,30200,30504.81,33215.67122,
2023/7/6,30504.8,31500,29850.45,29895.43,71319.6261,
2023/7/7,29895.42,30449,29701.02,30344.7,34070.53895,
2023/7/8,30344.7,30386.81,30044.47,30284.63,13094.59042,
2023/7/9,30284.63,30445.52,30061.12,30160.71,15388.50196,
2023/7/10,30160.71,31045.78,29950,30411.57,41262.87652,
2023/7/11,30411.57,30813.63,30300,30622.1,28476.83311,
2023/7/12,30622.1,30983.25,30210,30380,38108.99669,
2023/7/13,30380,31804.2,30251,31454.23,70772.51836,
2023/7/14,31454.23,31630,29900,30312.01,60749.48424,
2023/7/15,30312,30390.9,30200,30289.52,14118.55329,
2023/7/16,30289.52,30441.46,30064.29,30231.99,15760.1281,
2023/7/17,30232,30336.96,29659.2,30138,30882.76839,
2023/7/18,30138.01,30239.78,29512,29859.13,30003.8601,
2023/7/19,29859.14,30189.09,29761.96,29909.21,25657.36137,
2023/7/20,29909.21,30417.46,29570.96,29800,37540.68193,
2023/7/21,29800,30061.7,29726.34,29901.72,23881.40865,
2023/7/22,29901.72,29999,29625.1,29794,14660.40467,
2023/7/23,29793.99,30350,29730,30083.75,18292.78637,
2023/7/24,30083.75,30099.58,28861.9,29176.5,39628.99691,
2023/7/25,29176.5,29376,29047.65,29228.91,21565.7478,
2023/7/26,29228.91,29690,29096.94,29351.96,33931.63366,
2023/7/27,29351.95,29567.49,29083.85,29222.78,22476.47626,
2023/7/28,29222.78,29542.22,29123.12,29314.14,23993.61627,
2023/7/29,29314.14,29406.92,29256.18,29352.9,10851.36844,
2023/7/30,29352.9,29449,29033.24,29281.09,15706.97441,
2023/7/31,29281.09,29530,29101.8,29232.25,22605.48964,
2023/8/1,29232.26,29739.25,28585.7,29705.99,44719.65162,
2023/8/2,29705.99,30047.5,28927.5,29186.01,48181.65141,
2023/8/3,29186,29433.33,28968,29193.64,26476.91994,
2023/8/4,29193.65,29333.08,28807.54,29113.99,23551.95217,
2023/8/5,29114,29152.23,28978.64,29072.13,11645.52018,
2023/8/6,29072.13,29205.09,28991.88,29088.42,13178.1972,
2023/8/7,29088.43,29276.78,28701.03,29211.06,30966.87746,
2023/8/8,29211.06,30244,29146.45,29770.42,45700.53392,
2023/8/9,29770.41,30160,29376.67,29581.99,38003.88725,
2023/8/10,29581.99,29738,29320.2,29455.75,23463.45373,
2023/8/11,29455.76,29564.52,29252.45,29426.03,20637.0443,
2023/8/12,29426.02,29481.35,29381.56,29430.17,8971.48068,
2023/8/13,29430.18,29474.65,29272.32,29303.84,11101.70947,
2023/8/14,29303.85,29695.32,29102.45,29430.93,31443.11532,
2023/8/15,29430.92,29499.26,29059.6,29200,27503.87691,
2023/8/16,29200.01,29259.85,28723.08,28730.51,32996.69854,
2023/8/17,28730.51,28783.48,25166,26623.41,100271.5403,
2023/8/18,26623.41,26832.6,25619,26054,69790.65711,
2023/8/19,26054,26281,25801.09,26100.01,26160.75343,
2023/8/20,26100.01,26299,25971.05,26189.99,19056.91209,
2023/8/21,26190,26258.42,25812,26126.92,30267.24233,
2023/8/22,26126.92,26139.42,25300,26056,34247.06688,
2023/8/23,26055.99,26819.27,25812.82,26432.72,44023.69978,
2023/8/24,26432.71,26577.87,25864,26180.05,30205.22116,
2023/8/25,26180.05,26314.05,25777.15,26060.01,27753.33772,
2023/8/26,26060,26125.77,25985.92,26017.37,10022.22322,
2023/8/27,26017.38,26182.23,25966.11,26101.77,12099.64216,
2023/8/28,26101.78,26253.99,25864.5,26120,22692.62655,
2023/8/29,26120,28142.85,25922,27716.34,74251.99488,
2023/8/30,27716.34,27768.57,27017.24,27299.99,35448.25848,
2023/8/31,27299.99,27587.51,25655.01,25940.78,51032.80401,
2023/9/1,25940.77,26156,25333.75,25805.05,41032.15056,
2023/9/2,25805.04,25987.5,25752.47,25869.51,16250.77698,
2023/9/3,25869.52,26135,25800,25971.21,17474.47667,
2023/9/4,25971.21,26108.02,25631.21,25826.02,21777.59609,
2023/9/5,25826.03,25915.49,25562.62,25792.1,21323.39337,
2023/9/6,25792.11,26040,25372.51,25759.95,27262.52386,
2023/9/7,25759.95,26443.14,25615.38,26255,27687.49567,
2023/9/8,26255,26445.5,25647.26,25910.5,28999.76471,
2023/9/9,25910.5,25945.09,25796.64,25901.61,10980.62277,
2023/9/10,25901.6,26033.66,25570.57,25841.61,18738.26914,
2023/9/11,25841.6,25900.69,24901,25162.52,41682.32,
2023/9/12,25162.53,26567,25131.48,25840.1,56434.38537,
2023/9/13,25840.1,26405.22,25764.17,26222,31610.82753,
2023/9/14,26222,26860.49,26126.77,26522.73,38333.1725,
2023/9/15,26522.73,26888,26224,26600,26227.29369,
2023/9/16,26599.99,26777,26445,26559.67,13960.93351,
2023/9/17,26559.67,26623.25,26399,26527.51,12998.10277,
2023/9/18,26527.5,27409,26377.35,26762.51,43000.43256,
2023/9/19,26762.5,27483.57,26667.79,27210.26,36190.52187,
2023/9/20,27210.25,27388.63,26800,27125,34207.21867,
2023/9/21,27125.01,27159.6,26377.7,26568.08,34476.82662,
2023/9/22,26568.08,26743.38,26468.77,26580.14,18198.2292,
2023/9/23,26580.14,26632.81,26509,26575.96,9440.7026,
2023/9/24,26575.97,26738.54,26122.08,26248.38,15706.65771,
2023/9/25,26248.39,26446.15,25990.46,26304.81,26266.2039,
2023/9/26,26304.8,26397.46,26088.34,26221.67,18495.35066,
2023/9/27,26221.68,26850,26112.06,26372.99,34771.57978,
2023/9/28,26373,27308.48,26342.4,27021.39,44517.83491,
2023/9/29,27021.39,27244.89,26665.16,26906.96,28478.76219,
2023/9/30,26906.96,27094.99,26886.31,26962.56,12804.62307,
2023/10/1,26962.57,28065.51,26954.09,27992.57,24602.81468,
2023/10/2,27992.58,28580,27281.44,27494.51,57071.14241,
2023/10/3,27494.51,27676.52,27160.5,27426.46,28928.96555,
2023/10/4,27426.45,27839.72,27202,27778.57,29816.142,
2023/10/5,27778.57,28120.39,27352,27410.39,30681.49619,
2023/10/6,27410.39,28295,27175.94,27931.09,37983.24277,
2023/10/7,27931.1,28029.67,27842.08,27956.67,13348.83825,
2023/10/8,27956.67,28095.14,27687.5,27917.05,19693.56921,
2023/10/9,27917.06,27987.93,27260,27590.12,31534.74639,
2023/10/10,27590.12,27735,27298,27390.12,22776.84383,
2023/10/11,27390.12,27477.39,26538.66,26875.52,37349.44706,
2023/10/12,26875.52,26947.04,26555,26759.63,23428.64112,
2023/10/13,26759.63,27130,26685,26862,24115.76499,
2023/10/14,26862,26989.58,26789,26852.48,10417.25576,
2023/10/15,26852.48,27293.33,26808.25,27154.15,15274.6917,
2023/10/16,27154.14,30000,27112.66,28500.78,78399.22445,
2023/10/17,28500.77,28613.65,28069.32,28395.91,38428.44532,
2023/10/18,28395.91,28982.36,28142.87,28320,32162.47591,
2023/10/19,28320,28916.89,28100.66,28713.71,35895.50179,
2023/10/20,28713.71,30207.55,28578.29,29669.04,59422.0992,
2023/10/21,29669.05,30379.99,29464.77,29909.8,27517.51897,
2023/10/22,29909.8,30248,29640,29992.46,22852.54563,
2023/10/23,29992.46,34741.91,29883.6,33069.99,93513.64246,
2023/10/24,33069.99,35280,32832.34,33922.73,115265.0242,
2023/10/25,33922.73,35132.85,33679.05,34496.05,54887.02529,
2023/10/26,34496.05,34824.13,33751,34151.66,39744.66255,
2023/10/27,34151.66,34245,33390.95,33892.02,32330.40106,
2023/10/28,33892.01,34493.33,33860,34081,16880.13144,
2023/10/29,34081.01,34750.11,33930,34525.89,20685.52176,
2023/10/30,34525.88,34856,34062.84,34474.73,33657.95976,
2023/10/31,34474.74,34720.49,34025,34639.77,32737.89822,
2023/11/1,34639.78,35582,34097.39,35421.43,53473.28165,
2023/11/2,35421.43,35984.99,34300,34941.59,48015.57732,
